,villes,count,regions,longitude,latitude
125,nganha,1667,adamaoua,13.9286812,7.4357865
126,ngaoundal,1667,adamaoua,13.2693000,6.4683420
127,ngaoundere,1833,adamaoua,13.5878214,7.3211536
128,ngomedzap,1651,centre,11.2006355,3.2651191
129,ngoulemakong,1656,sud,11.4222498,3.0811210
130,ngoumou,1651,centre,11.3042573,3.5934319
131,ngoyla,1679,est,14.0241370,2.6293550
132,niete,1650,sud,10.0570812,2.7152674
133,njombe,1692,littoral,9.6529320,4.5867240
134,nkongsamba,1809,littoral,9.9391669,4.9525115
135,nkoteng,1686,centre,12.1187119,4.5046903
136,nsimeyong,1667,centre,12.3838574,4.6923774
137,nyabi,1673,est,14.6786875,4.3920027
138,obala,1654,centre,11.5346644,4.1657131
139,olembe,1651,centre,12.5026811,3.9256653
140,oyom abang,1651,centre,11.4729961,3.8759417
141,penja,1674,littoral,9.6829140,4.6407990
142,pitoa,1666,nord,13.5011153,9.3861256
143,poli,1666,nord,13.2423922,8.4764354
144,pouma,1654,littoral,10.5251920,3.8546259
145,sa'a,1651,centre,11.4399000,4.3614540
146,salapoumbe,1675,est,15.3808195,2.6145501
147,sangmelima,1662,sud,11.9756460,2.9361760
148,santchou,1668,ouest,9.9760978,5.2815650
149,soa,1657,centre,11.5931287,3.9781803
150,souza,1660,littoral,9.6132516,4.2317631
151,talba,1655,centre,11.4736318,4.5955039
152,tchollire,1668,nord,14.1675240,8.4033303
153,tibati,1667,adamaoua,12.6251249,6.4658575
154,tignere,1667,adamaoua,12.6529210,7.3732480
155,tiko,1653,sud-ouest,9.3650187,4.0755710
156,tonga,1668,ouest,10.6993080,4.9694090
157,touboro,1668,nord,15.3470240,7.7689220
158,waza,1663,extreme-nord,14.5681220,11.4004548
159,yabassi,1655,littoral,9.9709058,4.4604320
160,yagoua,1669,extreme-nord,15.2265866,10.3444296
161,yaounde,7124,centre,11.5213344,3.8689867
162,yokadouma,1682,est,15.0510331,3.5152789
163,yoko,1660,centre,12.3186341,5.5406812
